drug_name,govuk_mhra_mentions,govuk_mhra_mentions_30d,fda_warning_mentions,fda_api_manufacturer_flag,fda_india_china_flag,cpe_news_mentions,cpe_concession_flag,mims_shortage_flag,early_warning_score,scraped_date
ramipril 2.5mg tablets,1,1,0,0,0,0,0,0,3.5,2026-03-24
ramipril 2.5mg capsules,1,1,0,0,0,0,0,0,3.5,2026-03-24
ramipril 5mg capsules,1,1,0,0,0,0,0,0,3.5,2026-03-24
melatonin 1mg/ml oral solution sugar free,1,1,0,0,0,0,0,0,3.5,2026-03-24
ramipril 10mg capsules,1,1,0,0,0,0,0,0,3.5,2026-03-24
ramipril 10mg tablets,1,1,0,0,0,0,0,0,3.5,2026-03-24
ramipril 1.25mg tablets,1,1,0,0,0,0,0,0,3.5,2026-03-24
ramipril 1.25mg capsules,1,1,0,0,0,0,0,0,3.5,2026-03-24
melatonin 2mg modified-release tablets,1,1,0,0,0,0,0,0,3.5,2026-03-24
ramipril 5mg tablets,1,1,0,0,0,0,0,0,3.5,2026-03-24
co-trimoxazole 80mg/400mg tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
sodium cromoglicate 2% eye drops,0,0,0,0,0,1,0,0,2.0,2026-03-24
sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules,0,0,0,0,0,1,0,0,2.0,2026-03-24
sodium bicarbonate 500mg capsules,0,0,0,0,0,1,0,0,2.0,2026-03-24
propranolol 40mg tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
sodium valproate 500mg gastro-resistant tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
sodium fluoride 1.1% dental paste sugar free,0,0,0,0,0,1,0,0,2.0,2026-03-24
phenobarbital 30mg tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
sodium fluoride 0.619% dental paste sugar free,0,0,0,0,0,1,0,0,2.0,2026-03-24
propranolol 160mg modified-release capsules,0,0,0,0,0,1,0,0,2.0,2026-03-24
oxybutynin 10mg modified-release tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
oxybutynin 2.5mg tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
sodium valproate 200mg gastro-resistant tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
propranolol 10mg tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
oxybutynin 5mg modified-release tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
sodium valproate 200mg/5ml oral solution sugar free,0,0,0,0,0,1,0,0,2.0,2026-03-24
propranolol 80mg tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
oxybutynin 5mg tablets,0,0,0,0,0,1,0,0,2.0,2026-03-24
baclofen 5mg/5ml oral solution sugar free,1,0,0,0,0,0,0,0,1.5,2026-03-24
clarithromycin 125mg/5ml oral suspension,1,0,0,0,0,0,0,0,1.5,2026-03-24
quetiapine 150mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
prednisolone 5mg soluble tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
prednisolone 5mg soluble tablets sugar free,1,0,0,0,0,0,0,0,1.5,2026-03-24
prednisolone 5mg gastro-resistant tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
clarithromycin 250mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
ibuprofen 5% gel,1,0,0,0,0,0,0,0,1.5,2026-03-24
quetiapine 25mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
clarithromycin 500mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
quetiapine 200mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
ibuprofen 100mg/5ml oral suspension sugar free,1,0,0,0,0,0,0,0,1.5,2026-03-24
clarithromycin 250mg/5ml oral suspension,1,0,0,0,0,0,0,0,1.5,2026-03-24
atorvastatin 40mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
quetiapine 100mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
ibuprofen 200mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
prednisolone 1mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
prednisolone 2.5mg gastro-resistant tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
baclofen 10mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
ibuprofen 400mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
atorvastatin 20mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
atorvastatin 10mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
prednisolone 5mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
quetiapine 300mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
atorvastatin 80mg tablets,1,0,0,0,0,0,0,0,1.5,2026-03-24
